function,0.5877531856424278
article,0.04749032483023141
affect,0.07838182138307458
negemo,0.03471668410096009
sad,0.011769011147590788
drives,0.07579947455456243
achieve,0.017924525044966666
adj,0.052965728667156896
cogproc,0.1621941662437556
discrep,0.023852184810415004
bio,0.02616179714768055
health,0.014410047676750939
sexual,0.0021818759299728303
prep,0.12637618717181237
adverb,0.0665644775408325
power,0.020299731753544686
relativ,0.12162232141932411
space,0.054111903997459083
time,0.052340855972022274
work,0.015456105282418291
certain,0.01767940923637795
informal,0.014485999054060119
assent,0.002969008385722522
risk,0.0076745414435594956
netspeak,0.004039232338715524
anger,0.00854452994728284
verb,0.20612858568178444
posemo,0.042342892849868294
insight,0.03476156446027916
focuspast,0.03215159894910913
reward,0.019785333789041598
affiliation,0.020852105406702365
money,0.003286623236288187
percept,0.025688827207164287
feel,0.011938175578870327
social,0.11242530009424875
friend,0.004636486351192264
motion,0.017013108517256497
cause,0.019547122651117348
leisure,0.00892773916916098
differ,0.047473063153570236
quant,0.02515026289533555
focuspresent,0.15271750575676918
home,0.0026272271878312083
swear,0.004598510662537673
anx,0.005202669345678885
compare,0.029862700623836995
relig,0.0014361714982099641
nonflu,0.0019816404807031715
focusfuture,0.016840491750644723
auxverb,0.11080960715876255
negate,0.026424174632930446
ingest,0.0036007857515216166
death,0.0022992553312688366
tentat,0.043437283150186946
conj,0.07284427551016885
pronoun,0.20026306795231635
ipron,0.07145988904194242
filler,0.0005143979645030881
see,0.00601742048408646
body,0.005592783238221495
hear,0.006203846592027177
family,0.0034834063502256103
female,0.005016243237738168
male,0.005444332818935369
number,0.006687173538540146
ppron,0.1286547284910878
shehe,0.006407534376629071
interrog,0.016647160972039537
i,0.06918825239333147
we,0.004101374374695763
they,0.008775836414542618
you,0.04018173093188888
